title,genres,keywords,tagline,cast,director
The Green Mile,Fantasy Drama Crime,southern usa black people mentally disabled based on novel heal,Miracles do happen.,Tom Hanks Michael Clarke Duncan David Morse Bonnie Hunt James Cromwell,Frank Darabont
Saw: The Final Chapter,Horror Crime,survivor violence self help guru tricycle prosthetic arm,The Traps Come Alive,Tobin Bell Costas Mandylor Betsy Russell Cary Elwes Sean Patrick Flanery,Kevin Greutert
Jackass 3D,Comedy Documentary Action,pain stunts stuntman stupidity comedy,Don't try this at home,Johnny Knoxville Bam Margera Ryan Dunn Steve-O Chris Pontius,Jeff Tremaine
Tammy,Comedy,,She hit the road. The road hit back.,Melissa McCarthy Susan Sarandon Kathy Bates Allison Janney Dan Aykroyd,Ben Falcone
Rambo: First Blood Part II,Action Adventure Thriller War,usa vietnam veteran submachine gun prisoner prisoners of war,"What most people call hell, he calls home.",Sylvester Stallone Richard Crenna Charles Napier Steven Berkoff Julia Nickson,George P. Cosmatos
The Rite,Drama Thriller Horror,vatican violinist hospital miscarriage exorcist,You can only defeat it when you believe.,Anthony Hopkins Colin O'Donoghue Alice Braga Toby Jones Ciar\u00e1n Hinds,Mikael H\u00e5fstr\u00f6m
1911,Adventure Drama Action History War,martial arts sword revolution blood gunfight,Fall of the Last Empire,Jackie Chan Li Bingbing Joan Chen Jaycee Chan Sun Chun,Jackie Chan
Old School,Comedy,sex doll streaking mouth to mouth resuscitation,"All the fun of college, none of the education.",Luke Wilson Will Ferrell Vince Vaughn Ellen Pompeo Leah Remini,Todd Phillips
Meet the Deedles,Animation Comedy Family,,Fish out of water...Surfers in Yellowstone,Paul Walker John Ashton Dennis Hopper Eric Braeden Richard Lineback,Steve Boyum
Casa De Mi Padre,Comedy Western,mexico organized crime drug lord padre aftercreditsstinger,Funniest movie you'll ever read.,Will Ferrell Gael Garc\u00eda Bernal G\u00e9nesis Rodr\u00edguez Diego Luna Efren Ramirez,Matt Piedmont
The Usual Suspects,Drama Crime Thriller,law relatives theft criminal criminal mastermind,Five Criminals. One Line Up. No Coincidence.,Stephen Baldwin Gabriel Byrne Chazz Palminteri Kevin Pollak Pete Postlethwaite,Bryan Singer
Lady in the Water,Drama Thriller Fantasy Mystery,fortune teller religion and supernatural supernatural powers mythical creature hell,Time is running out for a happy ending.,Paul Giamatti Jeffrey Wright Bob Balaban Sarita Choudhury Cindy Cheung,M. Night Shyamalan
